numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServiced;iTotUnserviced;dbTraveledDistance;dbTotalCosts;dbTimeWinViolation;iNumVehiclesUsed;dbOperationTime;dbTransportTime;dbServiceTime;dbWaitingTime
4;50;500,0;500,0;2,0E-4;2;0,5;24;9;41;1397,1013625033975;7125,216948767327;0,0;4;1886,1013625033975;1397,1013625033975;489,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,579;24;15;35;1193,3822549753822;5370,22014738922;0,0;4;2038,0711036009307;1193,3822549753825;838,0;6,688848625548189
4;50;500,0;500,0;2,0E-4;2;0,673;24;20;30;1016,3096477526547;4065,238591010619;0,0;4;2133,235451723296;1016,3096477526543;1039,0;77,92580397064182
4;50;500,0;500,0;2,0E-4;2;0,61;24;19;31;927,7630470187701;3803,828492776958;0,0;4;2068,2759011362778;927,7630470187701;1079,0;61,51285411750791
4;50;500,0;500,0;2,0E-4;2;0,602;24;15;35;1225,0583122756063;5512,762405240229;0,0;4;2207,6067257040622;1225,058312275606;957,0;25,548413428455888
4;50;500,0;500,0;2,0E-4;2;0,637;24;14;36;1238,0274594065895;5694,926313270312;0,0;4;2116,3052923208743;1238,02745940659;860,0;18,277832914284204
4;50;500,0;500,0;2,0E-4;2;0,466;24;9;41;1544,4293478359205;7876,589673963194;0,0;4;2123,862865636415;1544,4293478359205;473,0;106,43351780049454
4;50;500,0;500,0;2,0E-4;2;0,634;24;18;32;1108,445512839111;4655,471153924266;0,0;4;2097,901841912565;1108,445512839111;977,0;12,456329073454071
4;50;500,0;500,0;2,0E-4;2;0,584;24;12;38;1354,2255297192003;6500,282542652161;0,0;4;2043,4566071948157;1354,2255297192005;646,0;43,231077475615166
4;50;500,0;500,0;2,0E-4;2;0,521;24;11;39;1184,6330263925506;5804,701829323498;0,0;4;1890,4875340839435;1184,6330263925506;617,0;88,854507691393
4;50;500,0;500,0;2,0E-4;2;0,633;24;19;31;931,9903064773695;3821,1602565572152;0,0;4;2007,8228947594466;931,9903064773697;1019,0;56,83258828207693
4;50;500,0;500,0;2,0E-4;2;0,548;24;13;37;1224,7089646891013;5756,132134038777;0,0;4;2027,6734529230544;1224,708964689101;689,0;113,96448823395349
4;50;500,0;500,0;2,0E-4;2;0,595;24;17;33;1312,8009705354157;5645,044173302287;0,0;4;2214,869957561316;1312,8009705354157;858,0;44,06898702590024
4;50;500,0;500,0;2,0E-4;2;0,544;24;12;38;1282,0557886968204;6153,867785744738;0,0;4;1916,5809788220113;1282,0557886968204;625,0;9,525190125190647
4;50;500,0;500,0;2,0E-4;2;0,578;24;16;34;1398,1429682566795;6151,829060329391;0,0;4;2183,246944014745;1398,1429682566795;752,0;33,103975758065644
4;50;500,0;500,0;2,0E-4;2;0,631;24;17;33;1096,581370063574;4715,299891273369;0,0;4;2033,2833662613186;1096,581370063574;905,0;31,701996197744393
4;50;500,0;500,0;2,0E-4;2;0,637;24;19;31;921,7238186826644;3779,0676565989243;0,0;4;2017,4538837553282;921,7238186826644;1031,0;64,73006507266393
4;50;500,0;500,0;2,0E-4;2;0,615;24;17;33;941,7533519499825;4049,539413384925;0,0;4;1921,4043213175883;941,7533519499826;952,0;27,65096936760574
4;50;500,0;500,0;2,0E-4;2;0,62;24;18;32;830,2815204599457;3487,182385931772;0,0;4;1969,614821914235;830,2815204599461;965,0;174,33330145428909
4;50;500,0;500,0;2,0E-4;2;0,469;24;8;42;1608,3002885735677;8363,161500582553;0,0;4;2175,5225241518865;1608,3002885735677;436,0;131,222235578319
4;50;500,0;500,0;2,0E-4;2;0,595;24;16;34;1210,5433826518683;5326,39088366822;0,0;4;2157,8675770600403;1210,5433826518688;943,0;4,324194408171024
4;50;500,0;500,0;2,0E-4;2;0,542;24;11;39;1264,5541693596185;6196,315429862132;0,0;4;1965,8876715251192;1264,5541693596183;632,0;69,33350216550093
4;50;500,0;500,0;2,0E-4;2;0,505;24;15;35;1115,7815214560828;5021,016846552373;0,0;4;2022,7815214560824;1115,7815214560826;907,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,521;24;11;39;1478,5483053156224;7244,88669604655;0,0;4;2133,2516659405455;1478,5483053156224;653,0;1,703360624923107
4;50;500,0;500,0;2,0E-4;2;0,529;24;11;39;1304,0820542655072;6390,002065900986;0,0;4;1889,226715820537;1304,082054265507;583,0;2,14466155502987
4;50;500,0;500,0;2,0E-4;2;0,524;24;13;37;1366,859565326471;6424,239957034414;0,0;4;2105,1599718474995;1366,859565326471;733,0;5,300406521028208
4;50;500,0;500,0;2,0E-4;2;0,506;24;10;40;1363,370177939316;6816,8508896965795;0,0;4;1991,4661068515989;1363,3701779393161;622,0;6,095928912282602
4;50;500,0;500,0;2,0E-4;2;0,475;24;10;40;1237,2797869985422;6186,398934992712;0,0;4;1897,144951879109;1237,2797869985422;603,0;56,86516488056668
4;50;500,0;500,0;2,0E-4;2;0,465;24;10;40;1311,604388512853;6558,0219425642645;0,0;4;1937,604388512853;1311,604388512853;626,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,637;24;18;32;930,0099147395161;3906,041641905968;0,0;4;2119,0424932295596;930,009914739516;1119,0;70,03257849004353
4;50;500,0;500,0;2,0E-4;2;0,708;24;17;33;1177,8553812664138;5064,77813944558;0,0;4;2106,2695529624007;1177,8553812664136;867,0;61,41417169598685
4;50;500,0;500,0;2,0E-4;2;0,521;24;12;38;1140,743965490859;5475,571034356124;0,0;4;1853,7439654908592;1140,743965490859;713,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,559;24;14;36;1246,4069359330979;5733,47190529225;0,0;4;2015,9325723840475;1246,4069359330977;739,0;30,525636450949946
4;50;500,0;500,0;2,0E-4;2;0,554;24;14;36;1206,2506639060127;5548,753053967659;0,0;4;1963,676899466239;1206,2506639060125;755,0;2,426235560226587
4;50;500,0;500,0;2,0E-4;2;0,564;24;13;37;1353,8404253888725;6363,049999327701;0,0;4;2138,468895789636;1353,8404253888727;735,0;49,62847040076326
4;50;500,0;500,0;2,0E-4;2;0,553;24;13;37;1345,0599053333306;6321,781555066655;0,0;4;2179,059905333331;1345,0599053333306;834,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,606;24;15;35;1100,717135741197;4953,227110835386;0,0;4;2024,29498949404;1100,717135741197;837,0;86,57785375284323
4;50;500,0;500,0;2,0E-4;2;0,625;24;18;32;1038,373915890229;4361,170446738962;0,0;4;2071,373915890229;1038,373915890229;1033,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,479;24;11;39;1259,1799849723157;6169,981926364347;0,0;4;1868,617423767334;1259,1799849723157;580,0;29,437438795018352
4;50;500,0;500,0;2,0E-4;2;0,595;24;12;38;1158,7116430417739;5561,815886600514;0,0;4;1954,5281664037357;1158,7116430417739;787,0;8,816523361962027
4;50;500,0;500,0;2,0E-4;2;0,703;24;19;31;829,5231558942224;3401,0449391663124;0,0;4;1994,632350599864;829,5231558942226;1147,0;18,109194705641357
4;50;500,0;500,0;2,0E-4;2;0,657;24;15;35;1234,1054759155043;5553,474641619769;0,0;4;2112,007220817699;1234,105475915504;875,0;2,901744902194878
4;50;500,0;500,0;2,0E-4;2;0,627;24;18;32;996,0793565004736;4183,5332973019895;0,0;4;2000,621710725653;996,0793565004738;965,0;39,542354225179224
4;50;500,0;500,0;2,0E-4;2;0,55;24;12;38;1251,1109805072433;6005,332706434769;0,0;4;2023,5256642727377;1251,1109805072433;733,0;39,414683765494374
4;50;500,0;500,0;2,0E-4;2;0,521;24;13;37;1185,602752741626;5572,332937885642;0,0;4;1996,602752741626;1185,6027527416263;811,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,552;24;12;38;1274,791160248291;6118,997569191796;0,0;4;1968,784250575992;1274,791160248291;646,0;47,993090327701225
4;50;500,0;500,0;2,0E-4;2;0,573;24;12;38;1220,7594421053811;5859,645322105829;0,0;4;1978,759442105381;1220,759442105381;758,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,561;24;14;36;1114,0331247131267;5124,5523736803825;0,0;4;2049,6051343090835;1114,033124713127;872,0;63,57200959595639
4;50;500,0;500,0;2,0E-4;2;0,534;24;13;37;1071,8669255760506;5037,774550207438;0,0;4;1905,8669255760503;1071,8669255760503;834,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,526;24;12;38;1116,2210840134253;5357,861203264441;0,0;4;1891,2210840134253;1116,2210840134253;775,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,567;24;15;35;998,8743674656284;4494,934653595328;0,0;4;2061,63358561944;998,8743674656286;941,0;121,75921815381139
4;50;500,0;500,0;2,0E-4;2;0,579;24;15;35;1277,835402798534;5750,259312593404;0,0;4;2130,8354027985342;1277,8354027985338;853,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,548;24;14;36;1131,1416375974563;5203,251532948299;0,0;4;1979,0115501217138;1131,141637597456;776,0;71,86991252425776
4;50;500,0;500,0;2,0E-4;2;0,57;24;13;37;1101,8907431547573;5178,88649282736;0,0;4;2007,6516318846857;1101,8907431547573;770,0;135,7608887299284
4;50;500,0;500,0;2,0E-4;2;0,63;24;18;32;1087,077732512056;4565,726476550635;0,0;4;2189,077732512056;1087,0777325120557;1102,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,532;24;14;36;1180,5380437938745;5430,475001451823;0,0;4;1949,769547953537;1180,5380437938747;744,0;25,231504159662336
4;50;500,0;500,0;2,0E-4;2;0,505;24;12;38;1229,2298040142628;5900,303059268461;0,0;4;2084,738188185792;1229,2298040142632;675,0;180,5083841715284
4;50;500,0;500,0;2,0E-4;2;0,553;24;13;37;1183,1250197815898;5560,687592973472;0,0;4;2044,4752841813233;1183,1250197815896;797,0;64,35026439973376
4;50;500,0;500,0;2,0E-4;2;0,551;24;14;36;1216,9244553041442;5597,852494399064;0,0;4;2073,2414950496486;1216,924455304144;845,0;11,317039745504644
4;50;500,0;500,0;2,0E-4;2;0,596;24;15;35;990,3165599621036;4456,424519829467;0,0;4;2046,0561537469898;990,3165599621035;989,0;66,73959378488644
4;50;500,0;500,0;2,0E-4;2;0,608;24;18;32;1226,1861498038284;5149,981829176079;0,0;4;2225,186149803829;1226,1861498038284;999,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,525;24;11;39;1392,09145660484;6821,2481373637165;0,0;4;1982,0914566048395;1392,0914566048395;590,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,551;24;13;37;1257,272118981868;5909,17895921478;0,0;4;2086,934746641384;1257,272118981868;735,0;94,66262765951603
4;50;500,0;500,0;2,0E-4;2;0,667;24;19;31;779,6541803517981;3196,5821394423724;0,0;4;2135,8435690331285;779,6541803517983;1258,0;98,18938868133023
4;50;500,0;500,0;2,0E-4;2;0,66;24;15;35;1169,4849797160582;5262,682408722263;0,0;4;2183,9825607439957;1169,4849797160582;888,0;126,49758102793749
4;50;500,0;500,0;2,0E-4;2;0,526;24;13;37;1345,6394038913204;6324,505198289206;0,0;4;2016,6820102816873;1345,6394038913204;628,0;43,042606390367155
4;50;500,0;500,0;2,0E-4;2;0,585;24;16;34;1152,8458063041799;5072,521547738392;0,0;4;2053,2693670629806;1152,8458063041799;858,0;42,42356075880036
