strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
11/05/2018 19.54.22;11/05/2018;output/Batch10_100_d01/DS_100_10_28.xml;52d292a1;10;31,48573111253053;31,730564439877536;100;6,639;82;18;10;0,0;5185,162544290387;1018,1492514635853;363,62473266556617;98;6,454;82;16;10;0,0;5138,272879221355;975,7094859755232;375,272879221355;98;6,517;81;17;10;0,0;5125,119182137616;978,2534416230037;362,3160894900014;98;6,332;82;16;10;0,0;5195,684453406648;1083,107956778065;416,57998337617886;-0,1850000000000005;-0,027865642416026584;0,0;0,0;-0,12199999999999989;-0,01837626148516341;-1,0;-0,012195121951219513;-0,3070000000000004;-0,04624190390118999;0,0;0,0;0,6367346938775511;0,78;78,0;78,0;22,0;22,0
11/05/2018 19.54.49;11/05/2018;output/Batch10_100_d01/DS_100_10_29.xml;17be944;10;31,215054184312542;31,89908381021674;100;6,942;79;21;10;0,0;5011,682763613828;1163,529537782694;375,33210896215934;99;6,62;80;19;10;0,0;4991,578437188485;999,0034776003823;344,4839577932353;99;6,728;79;20;10;0,0;5064,28156496898;1041,7302478285558;347,2434159428519;99;6,485;78;21;10;0,0;5036,866399729509;1147,9329289242835;370,300944814285;-0,32200000000000006;-0,04638432728320369;1,0;0,012658227848101266;-0,2140000000000004;-0,030826851051570212;0,0;0,0;-0,45699999999999985;-0,06583117257274558;-1,0;-0,012658227848101266;0,8404040404040404;0,8;80,0;80,0;20,0;20,0
11/05/2018 19.55.16;11/05/2018;output/Batch10_100_d01/DS_100_10_3.xml;8928f206;10;31,83232862980902;31,537775988125016;100;6,769;87;13;10;0,0;5269,110103036966;942,2180070988863;409,66000308647233;98;6,261;86;12;10;0,0;5267,757372888962;830,7880728675918;377,63094221254175;98;6,55;86;12;10;0,0;5291,462609847366;886,6225617413885;403,01025533699476;98;6,08;86;12;10;0,0;5254,98716114046;824,6789238181476;374,8540562809762;-0,508;-0,0750480130004432;-1,0;-0,011494252873563218;-0,2190000000000003;-0,03235337568326197;-1,0;-0,011494252873563218;-0,6890000000000001;-0,1017875609395775;-1,0;-0,011494252873563218;0,8159183673469387;0,86;86,0;86,0;14,0;14,0
11/05/2018 19.55.43;11/05/2018;output/Batch10_100_d01/DS_100_10_30.xml;5e0a5bcc;10;31,682787940234906;31,811032391635464;100;6,719;84;16;10;0,0;5282,511827218221;1183,1621179868298;455,06235307185756;98;6,256;84;14;10;0,0;5293,49080322886;881,7694753432378;367,4039480596824;98;6,285;84;14;10;0,0;5231,980795607384;892,6759660791884;371,9483191996618;98;6,102;84;14;10;0,0;5318,403046614085;1037,2233146582;432,1763811075834;-0,4630000000000001;-0,06890906384878703;0,0;0,0;-0,43400000000000016;-0,06459294537877662;0,0;0,0;-0,617;-0,09182914124125613;0,0;0,0;0,7914285714285715;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.56.09;11/05/2018;output/Batch10_100_d01/DS_100_10_31.xml;46bb4aac;10;31,37063786932287;31,97392307186214;100;6,851;89;11;10;0,0;5345,612017325182;841,2852363828827;400,6120173251822;95;5,785;87;8;10;0,0;5354,83955027917;804,9805301883713;447,21140566020625;95;5,862;88;7;10;0,0;5346,700709482273;747,2447785932945;439,5557521137026;95;5,755;87;8;10;0,0;5377,703781449036;741,0668066082635;411,70378144903526;-1,0659999999999998;-0,15559772296015179;-2,0;-0,02247191011235955;-0,9889999999999999;-0,14435848781199823;-1,0;-0,011235955056179775;-1,096;-0,1599766457451467;-2,0;-0,02247191011235955;0,8496842105263158;0,88;88,0;88,0;12,0;12,0
11/05/2018 19.56.34;11/05/2018;output/Batch10_100_d01/DS_100_10_32.xml;390c05ca;10;31,93957993123384;30,871805249196946;100;6,829;86;14;10;0,0;5332,235378982309;940,2615429066261;391,77564287776084;99;6,747;86;13;10;0,0;5422,0959855092515;965,1212675499589;419,6179424130256;99;6,573;85;14;10;0,0;5374,2374622732095;1049,4806042251819;437,28358509382576;99;6,446;86;13;10;0,0;5395,815251445676;1091,2048681514461;474,4368991962809;-0,08199999999999985;-0,01200761458485867;0,0;0,0;-0,25599999999999934;-0,037487186996631915;-1,0;-0,011627906976744186;-0,383;-0,05608434617074243;0,0;0,0;0,7212121212121212;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.57.01;11/05/2018;output/Batch10_100_d01/DS_100_10_33.xml;bb8ac657;10;31,919423865567943;31,53874859918302;100;6,889;78;22;10;0,0;5085,541574815087;1114,3734884019123;348,2417151255976;95;6,157;78;17;10;0,0;5140,005858126287;1034,1158169409737;383,0058581262865;95;6,018;78;17;10;0,0;5064,334627507556;920,3199575174617;340,85924352498586;95;5,799;78;17;10;0,0;5102,039998529521;918,1079960297084;340,0399985295216;-0,7320000000000002;-0,10625635070402092;0,0;0,0;-0,8710000000000004;-0,12643344462186099;0,0;0,0;-1,0899999999999999;-0,15822325446363766;0,0;0,0;0,7037894736842105;0,77;77,0;77,0;23,0;23,0
11/05/2018 19.57.26;11/05/2018;output/Batch10_100_d01/DS_100_10_34.xml;80e35f1c;10;30,63919292810851;31,74162567242855;100;6,742;91;9;10;0,0;5294,378338300757;696,5359950889037;366,59789215205456;96;5,897;91;5;10;0,0;5301,928464561086;516,775504478096;344,5170029853973;96;6,021;91;5;10;0,0;5284,388836336868;516,2849216698479;344,1899477798986;96;6,003;91;5;10;0,0;5305,132779149441;616,6991687241637;411,1327791494424;-0,8449999999999998;-0,1253337288638386;0,0;0,0;-0,7210000000000001;-0,10694156036784339;0,0;0,0;-0,7389999999999999;-0,10961139127855234;0,0;0,0;0,8246875;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.57.51;11/05/2018;output/Batch10_100_d01/DS_100_10_35.xml;9450db88;10;31,90892124271034;31,84039012753041;100;6,571;84;16;10;0,0;5225,030527599713;1176,3475125720515;452,4413509892506;95;5,952;85;10;10;0,0;5209,61949992761;823,0474635932674;411,5237317966336;95;5,949;82;13;10;0,0;5188,940738968557;1008,3928016485027;438,4316528906533;95;5,923;83;12;10;0,0;5187,438677587353;941,751999192094;428,06909054186093;-0,6189999999999998;-0,09420179576928928;1,0;0,011904761904761904;-0,6219999999999999;-0,09465834728351848;-2,0;-0,023809523809523808;-0,6479999999999997;-0,09861512707350475;-1,0;-0,011904761904761904;0,8210526315789474;0,85;85,0;85,0;15,0;15,0
11/05/2018 19.58.17;11/05/2018;output/Batch10_100_d01/DS_100_10_36.xml;4f9910f8;10;31,76380818409494;31,533856166837346;100;6,966;86;14;10;0,0;5422,902920424067;1010,2212066978891;420,9255027907871;99;6,409;85;14;10;0,0;5397,4676596636455;825,7808451359343;344,0753521399726;99;6,476;86;13;10;0,0;5359,528938005248;971,4101040570869;422,35221915525517;99;6,435;86;13;10;0,0;5388,382864299051;865,3582864617122;376,2427332442227;-0,5570000000000004;-0,07995980476600636;-1,0;-0,011627906976744186;-0,4900000000000002;-0,07034165948894634;0,0;0,0;-0,5310000000000006;-0,07622739018087864;0,0;0,0;0,7212121212121212;0,84;84,0;84,0;16,0;16,0
