strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numClusters;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
13/06/2018 18.14.01;13/06/2018;output/C_Batch4_50/RCG8_200_8_0.xml;b2809a07;8;8;500,0;498,5916594149634;200;17,527;48;152;8;0,0;4286,247365722078;26393,807324697682;1629,247365722079;172;19,611;47;125;8;0,0;4215,391336655733;22038,380560046797;1632,4726340775403;172;12,843;45;127;8;0,0;4223,381552955927;24175,95599942882;1764,6683211261914;172;12,759;44;128;8;0,0;4189,145173916678;23523,66691161124;1704,613544319655;2,0839999999999996;11,890226507673871;-1,0;-2,083333333333333;-4,684000000000001;-26,724482227420555;-3,0;-6,25;-4,768000000000001;-27,20374279682775;-4,0;-8,333333333333332;0,8269767441860465;0,38;76,0;38,0;124,0;124,0
13/06/2018 18.14.48;13/06/2018;output/C_Batch4_50/RCG8_200_8_1.xml;8ae24f41;8;8;500,0;500,0;200;9,363;26;174;8;0,0;4025,380841152296;45236,561072233766;2458,508753925748;10;0,784;10;0;3;0,0;1354,6873316085707;741,4205143000638;741,4205143000638;10;0,641;6;4;5;0,0;2499,756916234647;3043,2596827285056;2173,7569162346467;10;0,579;7;3;7;0,0;3476,9547017125083;3904,7411506510275;3003,6470389623287;-8,578999999999999;-91,62661540104666;-16,0;-61,53846153846154;-8,722;-93,15390366335576;-20,0;-76,92307692307693;-8,783999999999999;-93,81608458827299;-19,0;-73,07692307692307;0,9267368421052632;0,92;184,0;92,0;16,0;16,0
