numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;dbTraveledDistance_UP;dbCompletionTime_UP;dbWaitingTime_UP;dbTotalCosts_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;dbTraveledDistance_P;dbCompletionTime_P;dbWaitingTime_P;dbTotalCosts_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
100;142,0;142,0;24;1000;0,04959333465582226;2;499,738;675;12895,960642714024;52525,856134866895;170,8954921528491;432014,68153091986;811;0,04022019440587185;2;353,484;648;13668,992827370379;52230,5652306343;135,57240326392093;236473,57591350758;-146,25400000000002;-0,29266135454978415;-27,0;-0,04;0,6761504315659679;0,698;698,0;69,8;302,0;30,2
100;142,0;142,0;24;1000;0,04959333465582226;2;488,226;705;12877,272276563952;53196,049253541525;96,77697697756577;392756,8044352006;877;0,04349335449315612;2;392,217;687;13322,017461661882;52930,87090915815;66,85344749627285;266440,3492332376;-96,00900000000001;-0,19664868319180054;-18,0;-0,02553191489361702;0,6781998498206192;0,713;713,0;71,3;287,0;28,7
100;142,0;142,0;24;1000;0,04959333465582226;2;486,48;690;13121,94509917057;52923,19636749408;172,251268323506;419902,24317345826;836;0,041460027772267406;2;348,337;679;13329,338867666484;52786,381625284455;185,04275761801335;222599,9590900303;-138,14300000000003;-0,2839643973030752;-11,0;-0,015942028985507246;0,700108880849574;0,724;724,0;72,4;276,0;27,6
100;142,0;142,0;24;1000;0,04959333465582226;2;491,901;676;12603,139803333843;52623,608545800176;190,4687424663108;420944,8694313504;834;0,041360841102955764;2;356,651;652;13651,28220185966;52421,53325605479;136,2510541951043;262104,6182757055;-135,25;-0,27495370003313674;-24,0;-0,03550295857988166;0,6570299615729104;0,688;688,0;68,8;312,0;31,2
100;142,0;142,0;24;1000;0,04959333465582226;2;519,222;680;13114,682456210165;51983,5958618641;73,91340565394307;432784,52105493547;786;0,038980361039476295;2;325,02;668;13772,966724446478;51936,049951041205;189,08322659472776;176293,97407291492;-194,202;-0,37402498353305524;-12,0;-0,01764705882352941;0,6308928800741956;0,659;659,0;65,9;341,0;34,1
