numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;dbTraveledDistance_UP;dbCompletionTime_UP;dbWaitingTime_UP;dbTotalCosts_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;dbTraveledDistance_P;dbCompletionTime_P;dbWaitingTime_P;dbTotalCosts_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
100;100,0;100,0;24;1000;0,1;2;549,635;758;9686,16226163995;52968,90940111149;210,7471394715206;244091,28899332677;848;0,0848;2;369,334;733;10777,831921219904;53193,09981868735;179,26789746743287;134722,8990152488;-180,301;-0,328037697744867;-25,0;-0,032981530343007916;0,6375554245283018;0,683;683,0;68,3;317,0;31,7
100;100,0;100,0;24;1000;0,1;2;548,331;739;10084,179096921362;53195,33116806336;151,15207114202667;273281,2535265689;891;0,0891;2;406,809;730;10749,031841925229;53187,411870067444;116,38002814224438;183808,44449692144;-141,522;-0,2580959311073056;-9,0;-0,012178619756427604;0,6130103481296142;0,687;687,0;68,7;313,0;31,3
100;100,0;100,0;24;1000;0,1;2;539,072;733;10140,489030857121;52339,19614637079;89,70711551367958;280891,54615474225;859;0,0859;2;413,387;716;10711,808771847482;52418,56922490994;109,76045306243304;163890,6742092665;-125,685;-0,2331506737504452;-17,0;-0,023192360163710776;0,6880646306524989;0,725;725,0;72,5;275,0;27,5
100;100,0;100,0;24;1000;0,1;2;546,844;734;10167,30519530343;52824,200746948074;119,89555164462803;280617,6233903747;987;0,0987;2;526,958;728;10117,428957046046;52746,47203554771;142,0430785016726;272158,8389445387;-19,88600000000008;-0,036365032806431226;-6,0;-0,008174386920980926;0,6455033902267945;0,734;734,0;73,4;266,0;26,6
100;100,0;100,0;24;1000;0,1;2;548,083;737;9940,488517337424;52588,77862725541;95,2901099180014;271375,3365233117;1000;0,1;2;530,037;731;9678,946543214677;52554,623532875354;228,67698966066627;270042,6085556895;-18,045999999999935;-0,03292567001713233;-6,0;-0,008141112618724558;0,534361;0,731;731,0;73,1;269,0;26,9
